http://tr.wikipedia.org/wiki/Volkswagen_Touareg			2	Motor tipi	3,189 cc (194.6 cu in) V6___4,163 cc (254.0 cu in) V8___5,998 cc (366.0 cu in) W12___Motor tipi___2,460 cc (150.1 cu in) I5 Turbo___2,967 cc (181.1 cu in) V6 Turbo___4,921 cc (300.3 cu in) V10 Turbo"	"Motor tipi___4,163 cc (254.0 cu in) V8"	-15	2
http://ru.wikipedia.org/wiki/CineForm		?????????? CineForm Intermediate	4	?????????????€????	480i/p, 576i/p, 720p, 1080i/p___480i/p, 576i/p, 720p, 1080i/p, 2Kp, 3Kp, 4Kp___480i/p, 576i/p, 720p, 1080i/p, 2Kp, 3Kp, 4Kp"	"480i/p, 576i/p, 720p, 1080i/p___480i/p, 576i/p, 720p, 1080i/p, 2Kp, 3Kp, 4Kp"	-15	0
http://en.wikipedia.org/wiki/Offshore_concrete_structure		Major offshore concrete structures	2	Operator	Atlantic Richfield___Mobil___Shell___Elf___Shell___Elf___Elf___Shell___Elf___Mobil___Petrobras___Petrobras___Petrobras___TAQA Bratani___Chevron___Shell___Mobil___Amoco Canada___Phillips___Texaco___Texaco___Mobil___Global Marine___Statoil___Statoil___Norsk Hydro]___Statoil___Hamilton Bros___Phillips___Elf Congo___Shell___Saga___Statoil___Shell___Conoco___BP___Shell___Conoco___Norsk Hydro___Esso___Esso___Ampolex___Mobil___Amerada Hess___Shell___Sakhalin Energy Investment Company Ltd. (SEIC)___Sakhalin Energy Investment Company Ltd. (SEIC)___ExxonMobil___MPU Heavy Lifter (MPU filed for bankruptcy before completion, it was thereafter demolished)"	"MPU Heavy Lifter (MPU filed for bankruptcy before completion, it was thereafter demolished)___Sakhalin Energy Investment Company Ltd. (SEIC)"	-14.65217391	0
http://en.wikipedia.org/wiki/Alone_Together_(Daley_album)		Discography	1	Tracklist	Alone Together (feat. Marsha Ambrosius) Blame the World Game Over Remember Me (feat. Jessie J) Those Who Wait Love is a Losing Game (Acoustic)___Broken Broken (String & Vocal Mix) Boken (Cahill Remix) [Radio Edit] Broken (A Cappella) Love is a Losing Game (Acoustic)	Alone Together (feat. Marsha Ambrosius) Blame the World Game Over Remember Me (feat. Jessie J) Those Who Wait Love is a Losing Game (Acoustic)___Broken Broken (String & Vocal Mix) Boken (Cahill Remix) [Radio Edit] Broken (A Cappella) Love is a Losing Game (Acoustic)	-15.2826087	0
http://fr.wikipedia.org/wiki/Championnat_du_monde_des_voitures_de_sport_1990		R??sultats de la saison	3	Moteur	Jaguar JV6 3.5L Turbo V6___Nissan VRH35Z 3.5L Turbo V8 Nissan VRH35Z 3.5L Turbo V8 Nissan VRH35Z 3.5L Turbo V8___Ford Cosworth DFR 3.5L V8___Porsche Type-935 3.2L Turbo Flat-6___Porsche Type-935 3.0L Turbo Flat-6 Porsche Type-935 3.0L Turbo Flat-6___Porsche Type-935 3.0L Turbo Flat-6___Toyota R36V 3.6L Turbo V8 Toyota R36V 3.6L Turbo V8___Porsche Type-935 3.0L Turbo Flat-6	Nissan VRH35Z 3.5L Turbo V8 Nissan VRH35Z 3.5L Turbo V8 Nissan VRH35Z 3.5L Turbo V8___Toyota R36V 3.6L Turbo V8 Toyota R36V 3.6L Turbo V8	-18	0
http://als.wikipedia.org/wiki/Liste_der_keltischen_St%C3%A4mme		Festland	0	Stamm	Capori___Turmogi___Celtiberi Pelendones Arevaci Belli Titti Lusones___Celtici	Celtiberi Pelendones Arevaci Belli Titti Lusones___Celtici	-15	2
http://fr.wikipedia.org/wiki/Routes_du_Nouveau-Brunswick		Routes Principales (0 ?? 99)	4	Position dans le Nouveau-Brunswick	Traverse toute la province, du nord-ouest au sud-est___Sud-Ouest___Sud-Ouest___centre-sud___centre___Centre-sud___Nord-est___sud-est___sud-est___Nord-Ouest___ouest"	"Traverse toute la province, du nord-ouest au sud-est___Nord-Ouest"	-17	2
http://sv.wikipedia.org/wiki/Lista_%C3%B6ver_webbpubliceringssystem		Fri programvara med ??ppen k??llkod	3	Senaste utg??va	3.4 (15 maj 2011)___1.11.5 (23 mars 2013)___2.11.4 (12 juni 2012)___4.8.2 (19 mars 2008)___5.6.3 (5 juli 2011)___7.4 (30 jun 2011) 6.22 (25 maj 2011) 5.23 (11 aug 2010)___0.7.24 (23 sep 2010)___4.6 (29 sep 2011)___1.7.0 (1 juli 2010)___1.0.0 (2007) 2.9.6.3 (21 januari 2009)___1.5.23 (4 april 2011) 1.6.3 (18 april 2011)___6.0 (10 aug 2011)___4.6.3 (13 april 2008)___1.19.0 (2 maj 2012)___2.1 (1 januari 2011)___5.1___7.0.4 (3 mars 2008)___2.3.2 (19 juni 2009)___2.1.0 (9 april 2010)___0.1 (1 januari 2009)___4.4___6.0.2 (4 mars 2013)___3.4.2 (6 september 2012)___2.2	7.4 (30 jun 2011) 6.22 (25 maj 2011) 5.23 (11 aug 2010)___1.5.23 (4 april 2011) 1.6.3 (18 april 2011)	-13.63043478	0
http://pl.wikipedia.org/wiki/Pomoc:Timeline		Przyk??ad 1	1	Parametry	left:50 right:20 top:25 bottom:30___orientation:vertical lub orientation:horizontal___from:0 till:80000___unit:year increment:5000 start:0 gridcolor:linegrey___unit:year increment:1000 start:0 gridcolor:linegrey2___color:cobar width:19 align:left bar:1899 from:0 till:26000___textcolor:black fontsize:S bar:1899 at: 26000 text: 26.000 shift:(-14,5)___fontsize:S pos:(20,20) text: XXX 000 999"	"textcolor:black fontsize:S bar:1899 at: 26000 text: 26.000 shift:(-14,5)___color:cobar width:19 align:left bar:1899 from:0 till:26000"	-14	0
http://fr.wikipedia.org/wiki/Jermaine_Paul		Discographie	2	Album	Booty Call Soundtrack___Respect___The Diary of Alicia Keys___Unplugged___Late Registration___So Amazing: An All-Star Tribute to Luther Vandross___The Preamble	So Amazing: An All-Star Tribute to Luther Vandross___The Diary of Alicia Keys	-13	0
http://en.m.wikipedia.org/wiki/Seven_rays		New Age teachingsEdit	2	Expression	""Magnetism""___""Instinct""___""Uniformity of Colour"" or ""Experience. Growth.""___""Intellect""___""Intellect""___""Radioactivity"""	"Uniformity of Colour or ""Experience. Growth.""___""Radioactivity"""	-17	2
http://en.wikipedia.org/wiki/IBook		"iBook G3 Dual USB (""Snow"")"	3	iBook (14.1 LCD 32 VRAM)	M8862LL/A___800 MHz PowerPC G3 (750fx)___Mac OS 9.2.2 / OS X 10.2.1"	Mac OS 9.2.2 / OS X 10.2.1___800 MHz PowerPC G3 (750fx)	-15.32608696	2
http://en.wikipedia.org/wiki/Tenimyu?oldid=0		Performances	3	Seigaku Generation Cast	6th Seigaku Generation cast___6th Seigaku Generation cast___6th Seigaku Generation cast___6th Seigaku Generation cast___6th Seigaku Generation cast___6th Seigaku Generation cast___6th Seigaku Generation cast (Graduation) 7th Seigaku Generation cast___7th Seigaku Generation cast___7th Seigaku Generation cast	6th Seigaku Generation cast (Graduation) 7th Seigaku Generation cast___7th Seigaku Generation cast	-16	0
http://en.wikipedia.org/wiki/Rubery		Transport	3	Via	Longbridge, Northfield, Selly Oak___Charford, Bromsgrove, Lickey End, Marlbrook, Rubery, Longbridge, Northfield, Selly Oak___Droitwich, Bromsgrove, Catshill, Rubery, Longbridge, Northfield, Selly Oak___Lickey End, Marlbrook, Lickey, Rednal, Rubery, Frankley, Woodgate, Lapal"	"Longbridge, Northfield, Selly Oak___Droitwich, Bromsgrove, Catshill, Rubery, Longbridge, Northfield, Selly Oak"	-16	0
http://en.wikipedia.org/wiki/Lincolnshire_Senior_Cup		"Increasing numbers, 1996-2003"	3	Final details	27 January 1998; Lincoln City 2-0 Lincoln United___17 November 1998; Scunthorpe United 2-0 Stamford___3 May 2000; Grimsby Town 3-3 Lincoln United Grimsby won 4-2 in penalty shoot-out___31 January 2001; Boston United 1-2 Stamford___1 August 2002; Grantham Town 0-3 Scunthorpe United___29 April 2003; Gainsborough Trinity 4-0 Grantham Town	3 May 2000; Grimsby Town 3-3 Lincoln United Grimsby won 4-2 in penalty shoot-out___1 August 2002; Grantham Town 0-3 Scunthorpe United	-17	0
http://en.wikipedia.org/wiki/Missouri_Route_112		Major intersections	3	Destinations	Route 112 Spur___Route 248 east___South end of Route 37 Bus. overlap___North end of Route 76, Route 86, and Route 37 Bus. overlaps"	"North end of Route 76, Route 86, and Route 37 Bus. overlaps___South end of Route 37 Bus. overlap"	-14	0
http://en.wikipedia.org/wiki/5-demicubic_honeycomb		Symmetry constructions	0	Coxeter group	= [31,1,3,31,1] = [1+,4,3,31,1]___= ([[4,3,3,4,2+]])"	"= [31,1,3,31,1] = [1+,4,3,31,1]___= ([[4,3,3,4,2+]])"	-13.2826087	0
http://en.wikipedia.org/wiki/Grandaddy_discography		Promotional releases	3	Formats & B-side(s)	1-track CD___DVD video single___Given away at live shows___Radio CD-R___CD, credited to 'Scrum Down Rookies Vs. Grandaddy'"	"CD, credited to 'Scrum Down Rookies Vs. Grandaddy'___Given away at live shows"	-14	0
http://en.wikipedia.org/wiki/Fabolous		Filmography	1	Title	Nick Cannon Presents: Wild 'N Out___The Game	Nick Cannon Presents: Wild 'N Out___The Game	-13	2
http://en.wikipedia.org/wiki/Visa_requirements_for_Armenian_citizens		Oceania	1	Conditions of access	30 days [91]___30 days [92]___30 days [93]___60 day visa on arrival for 75 PGK for tourists, other visitors' fees varying 50-750 PGK) [94] [95]___14 days visa-free stay, landing fee of US$ 35 payable on arrival [96] [97]___60 days [98]___1 month [99]"	"60 day visa on arrival for 75 PGK for tourists, other visitors' fees varying 50-750 PGK) [94] [95]___14 days visa-free stay, landing fee of US$ 35 payable on arrival [96] [97]"	-13.97826087	0
http://en.wikipedia.org/wiki/IBook		"iBook G3 Dual USB (""Snow"")"	1	iBook (14.1 LCD)	M7701LL/A___600 MHz PowerPC G3 (745/755)___Mac OS 9.2.1 / OS X 10.1.2"	Mac OS 9.2.1 / OS X 10.1.2___600 MHz PowerPC G3 (745/755)	-15.30434783	2
http://en.wikipedia.org/wiki/Renault_K-Type_engine		KxM petrol engine	1	Power	77 kilowatts (105 PS; 103 hp) 5750 rpm___66 kilowatts (90 PS; 89 hp) to 79 kilowatts (107 PS; 106 hp) @ 5750 rpm___81 kilowatts (110 PS; 109 hp) 5750 rpm___82 kilowatts (111 PS; 110 hp) 5750 rpm___81 kilowatts (110 PS; 109 hp) 5750 rpm___83 kilowatts (113 PS; 111 hp) 6000 rpm___77 kilowatts (105 PS; 103 hp) 5750 rpm___81 kilowatts (110 PS; 109 hp) 6000 rpm___74 kilowatts (101 PS; 99 hp) 5500 rpm___99 kilowatts (135 PS; 133 hp) 6750 rpm	66 kilowatts (90 PS; 89 hp) to 79 kilowatts (107 PS; 106 hp) @ 5750 rpm___99 kilowatts (135 PS; 133 hp) 6750 rpm	-19	0
http://en.wikipedia.org/wiki/List_of_Knights_of_the_Order_of_the_Seraphim		Europe	4	Title	Prince of Bavaria Infant of Spain___Title___Infant of Spain Crown Prince of Spain 1907-1931 Earl of Covadonga since 1933	Infant of Spain Crown Prince of Spain 1907-1931 Earl of Covadonga since 1933___Prince of Bavaria Infant of Spain	-19	0
http://en.wikipedia.org/wiki/List_of_heads_of_state_of_Mauritius		President of Mauritius	5	Duration	9 years, 230 days___1 year, 218 days___8 years, 176 days___1 year, 85 days (as of 14 October 2013)"	"1 year, 85 days (as of 14 October 2013)___8 years, 176 days"	-14	0
http://fr.wikipedia.org/wiki/Combin%C3%A9_nordique_%C3%A0_l%27Universiade_d%27hiver_de_2011	M??dailles obtenues	R??sultats	1	Or	Aguri Shimizu___Russie Mikhail Barinov Konstantin Voronin Ivan Panin	Aguri Shimizu___Russie Mikhail Barinov Konstantin Voronin Ivan Panin	-15	2
http://en.wikipedia.org/wiki/Duane_Eddy		Discography	5	Notes	Original copies featured gatefold covers, later replaced with regular covers. Also pressed in limited quantities of red vinyl and blue vinyl___Front cover featured photos of Duane Eddy with Brenda Lee and Annette Funicello"	"Original copies featured gatefold covers, later replaced with regular covers. Also pressed in limited quantities of red vinyl and blue vinyl___Front cover featured photos of Duane Eddy with Brenda Lee and Annette Funicello"	-18	0
http://en.wikipedia.org/wiki/Ohio_State_Route_555		Major intersections	5	Notes	SR 377 briefly joins from south.___SR 37 leaves to west in Portersville.___SR 669 joins from west in Deavertown.___SR 719 begins to the west, SR 555 heads east across Muskingum River."	"SR 719 begins to the west, SR 555 heads east across Muskingum River.___SR 669 joins from west in Deavertown."	-14	0
http://zh.wikipedia.org/wiki/%E6%B8%A9%E7%89%B9%E6%B2%83%E6%96%AF%C2%B7%E7%B1%B3%E5%8B%92		????????????	4	??????	1x06: ""The Time the Truth Was Told"" 1x11: ""The Time They Got E-Rotic""___season 1, episodes 16 (""All About Adam"") and 18 (""Ch-Ch-Changes"")___season 7, episode 1 (""Homecoming"")___season 2, episodes 21 (""Common Thread"") and 22 (""Something Wicked This Way Comes"")___season 1, episode 1 (""Pilot"")___Prison Break___11x01: ""Unstable"""	"1x06: ""The Time the Truth Was Told"" 1x11: ""The Time They Got E-Rotic""___season 2, episodes 21 (""Common Thread"") and 22 (""Something Wicked This Way Comes"")"	-15.95652174	0
http://nl.wikipedia.org/wiki/Lijst_van_veerdiensten_in_Nederland		Rivierengebied	7	Openingstijden	Hele jaar; dagelijks; hele dag.___Hele jaar; dagelijks; hele dag.___'s Zomers; woensdag t/m zondag; 11.00 - 01.00.___Hele jaar; dagelijks.___Hele jaar; 24 uur/dag	's Zomers; woensdag t/m zondag; 11.00 - 01.00.___Hele jaar; dagelijks; hele dag.	-14.65217391	0
http://pt.wikipedia.org/wiki/Agrippina		Grava????es selecionadas	3	Gravadora	3 CDs: Philips, Cat. No. 438 009-2 1991 performance___3 CDs: Mondo Musica, Cat. No. MFOH 10810 1983 performance___3 CDs: Dynamic, Cat. No. CDS431 2 DVDs: Dynamic, Cat. No. 33431"	"3 CDs: Dynamic, Cat. No. CDS431 2 DVDs: Dynamic, Cat. No. 33431___3 CDs: Mondo Musica, Cat. No. MFOH 10810 1983 performance"	-15.65217391	0
http://en.wikipedia.org/wiki/Makoto_Yoshimori		Discography	0	Title	Uta no Soba ni: A Song is on Your Side.___Oto no Aware	Uta no Soba ni: A Song is on Your Side.___Oto no Aware	-19	0
http://es.wikipedia.org/wiki/Charlize_Theron		Premios	2	Pel??cula	North Country___The Life and Death of Peter Sellers___Monster	The Life and Death of Peter Sellers___North Country	-13	0
http://en.wikipedia.org/wiki/Buddy_Starcher		Discography	1	Album	History Repeats Itself___Just Buddy and His Guitar No. 1___Me and My Guitar (Bootleg Re-issue of 1967 album for Bluebonnet)	Me and My Guitar (Bootleg Re-issue of 1967 album for Bluebonnet)___Just Buddy and His Guitar No. 1	-14.32608696	0
http://en.wikipedia.org/wiki/Where_the_Streets_Have_No_Name		Track listing	3	Producer	U2, Daniel Lanois, Brian Eno___U2___U2, Daniel Lanois, Brian Eno"	"U2___U2, Daniel Lanois, Brian Eno"	-14	2
http://en.wikipedia.org/wiki/Rilo_Kiley_discography		Singles	3	B-Sides	split 7"" w/ Bright Eyes & Sorry About Dresden___""After Hours"" & ""Emotional (Until The Crickets Guide You Back)""___""A Town Called Luckey"" & ""American Wife""___""Big Break"" & ""Draggin' Around"""	"After Hours & ""Emotional (Until The Crickets Guide You Back)""___split 7"" w/ Bright Eyes & Sorry About Dresden"	-12.65217391	0
http://it.wikipedia.org/wiki/Adamas		Armature degli inferi (Surplice)	2	Note	Nel manga/anime classico viene danneggiata da Hyoga___Nel manga/anime classico viene distrutta da Kanon; in Lost Canvas subisce un'evoluzione	Nel manga/anime classico viene danneggiata da Hyoga___Nel manga/anime classico viene distrutta da Kanon; in Lost Canvas subisce un'evoluzione	-15	0
http://en.wikipedia.org/wiki/List_of_Doctor_Who_audio_releases		Audio drama	5	Notes	An adaptation of Toby Hadoke's one-man show for BBC7___Spoof ""documentary"" from the Whatever Happened to ...? series of radio programmes. Released in the box set The BBC Radio Adventures___Side Two of this special Record Store Day release limited to 500 copies features a mini-adventure edited from this film's soundtrack___Featuring the I from the Eighth Doctor Adventures novel Seeing I"	"Spoof ""documentary"" from the Whatever Happened to ...? series of radio programmes. Released in the box set The BBC Radio Adventures___Side Two of this special Record Store Day release limited to 500 copies features a mini-adventure edited from this film's soundtrack"	-14.30434783	0
http://en.wikipedia.org/wiki/List_of_New_York_Undercover_episodes		Season 3 (1996?€?1997)	4	Written by	Denitria Harris-Lawrence___Story by: Reggie Rock Bythewood & Larry Moskowitz Teleplay by: Larry Moskowitz___Natalie Chaidez___Judith McCreary___Judith McCreary___Steven Phillip Smith___Reggie Rock Bythewood___Gar Anthony Haywood___Larry Moskowitz___Reggie Rock Bythewood & Jorge A. Reyes___Judith McCreary___Denitria Harris-Lawrence___Natalie Chaidez___Steven Phillip Smith___Larry Moskowitz___Reggie Rock Bythewood___Reggie Rock Bythewood___Judith McCreary___Denitria Harris-Lawrence___Larry Moskowitz___Steven Phillip Smith___Reggie Rock Bythewood___Judith McCreary	Story by: Reggie Rock Bythewood & Larry Moskowitz Teleplay by: Larry Moskowitz___Reggie Rock Bythewood & Jorge A. Reyes	-15.32608696	0
http://en.wikipedia.org/wiki/U2_(Vienna_U-Bahn)		Stations	1	Transfers	U 3___U 4___U 1 S 1 S 2 S 3 S 7___S 80	U 1 S 1 S 2 S 3 S 7___U 4	-16	2
http://en.wikipedia.org/wiki/2004%E2%80%9305_Manchester_United_F.C._season		UEFA Champions League	4	Scorers	Giggs 7', Rooney (3) 17', 28', 54', Van Nistelrooy 78', Bellion 81'______Van Nistelrooy (4) 14', 25' (pen.), 60', 90'___G. Neville 19', Van Nistelrooy 53'___"	"G. Neville 19', Van Nistelrooy 53'___Van Nistelrooy (4) 14', 25' (pen.), 60', 90'"	-15	0
http://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D0%BC%D0%BF%D0%B8%D0%BE%D0%BD%D0%B0%D1%82_%D0%93%D0%BE%D0%BD%D0%BA%D0%BE%D0%BD%D0%B3%D0%B0_%D0%BF%D0%BE_%D1%84%D1%83%D1%82%D0%B1%D0%BE%D0%BB%D1%83		????????????????	2	???????????????? ????????????	1972/73, 1974/75, 1978/79, 1979/80, 1980/81, 1981/82, 1982/83, 1983/84, 1984/85___1964/65, 1988/89, 1998/99, 2000/01, 2002/03, 2005/06___1909/10, 1912/13, 1914/15, 1915/16, 1917/18___1947/48, 1949/50, 1963/64, 2010/11, 2011/12___1955/56, 1992/93, 1993/94, 1994/95___1927/28, 1928/29, 1929/30___2001/02, 2003/04, 2004/05___1908/09, 1910/11___1911/12, 1922/23___1931/32, 1933/34___1953/54, 1966/67___1995/96, 1997/98___1913/14___1916/17___1918/19___1919/20___1920/21___1921/22___1924/25___1925/26___1926/27___1936/37___1945/46___1946/47___1962/63___1969/70___1970/71"	"1972/73, 1974/75, 1978/79, 1979/80, 1980/81, 1981/82, 1982/83, 1983/84, 1984/85___1964/65, 1988/89, 1998/99, 2000/01, 2002/03, 2005/06"	-15	0
http://it.wikipedia.org/wiki/Vita_del_legionario_romano		"Paga, indennit?? e durata"	0	Legione romana	immunis___principalis sesquiplicarius (= paga pari ad 1,5 volte) (Cornicen, Tesserarius e Beneficiarius)___principalis duplicarius (= paga pari a 2 volte) (Optio, Aquilifer, Signifer, Imaginifer, Vexillarius equitum, Cornicularius, Campidoctor)___principalis triplicarius (= paga pari a 3 volte) (Evocatus)___cavaliere legionario___centurione / decurione___centurione primo ordo___centurione primus pilus___praefectus castrorum___Tribunus angusticlavius___Tribunus laticlavius"	"principalis duplicarius (= paga pari a 2 volte) (Optio, Aquilifer, Signifer, Imaginifer, Vexillarius equitum, Cornicularius, Campidoctor)___principalis sesquiplicarius (= paga pari ad 1,5 volte) (Cornicen, Tesserarius e Beneficiarius)"	-16.97826087	0
http://simple.wikipedia.org/wiki/M*A*S*H_(TV_series)		Cast	1	Actor/Actress	George Morgan (Pilot Episode), Replaced by William Christopher___Loretta Swit___Jamie Farr___Wayne Rogers___McLean Stevenson___Larry Linville___Gary Burghoff___Mike Farrell___Harry Morgan___David Ogden Stiers"	"George Morgan (Pilot Episode), Replaced by William Christopher___David Ogden Stiers"	-17	0
http://en.wikipedia.org/wiki/USS_Triton_(SSRN-586)?oldid=cur		Design history	3	"Surcouf ""underwater cruiser"""	1934___361 ft 0 in (110.03 m)___29 ft 6 in (8.99 m)___23 ft 8 in (7.21 m)___3,250 long tons (3,300 t)___4,304 long tons (4,373 t)"	1934___361 ft 0 in (110.03 m)	-15	2
http://en.wikipedia.org/wiki/Ross_lynch	Television	Filmography	3	Notes	Lead role; Disney Channel Original Series___""Austin & Jessie & Ally All Star New Year"" (Season 2, Episode 6)___""Blade and the Howling Commandos"" (Season 2, Episode 21)"	"Austin & Jessie & Ally All Star New Year (Season 2, Episode 6)___""Blade and the Howling Commandos"" (Season 2, Episode 21)"	-13	0
http://en.wikipedia.org/wiki/Reiko_Aylesworth		Theatre	3	Production	Invisible Friends___Peter Pan___Cheap Sentiment___Missing / Kissing: Missing Marisa / Kissing Christine___Robbers___Humpty Dumpty___Top Girls___The Fearless___Expats	Missing / Kissing: Missing Marisa / Kissing Christine___The Fearless	-17	2
http://en.m.wikipedia.org/wiki/List_of_equipment_of_the_Russian_Ground_Forces		Infantry weaponsEdit	4	Notes	4 meter kill radius, 3.8 second fuse, will detonate on impact after being armed for 1.8 seconds.___Can be fitted to AKM, AK-74, AN-94, and AK-10X rifles and their variants.___Can be fitted to AKS-74U carbine.___6 round capacity in revolver style cylinders.___3 round tube magazine, pump action, optimized for close quarters battle using grenades with a small kill radius.___Belt fed with 29 round drums, high rate of fire.___Belt fed with 29 round drums, lightweight modern version of the AGS-17."	"Can be fitted to AKM, AK-74, AN-94, and AK-10X rifles and their variants.___3 round tube magazine, pump action, optimized for close quarters battle using grenades with a small kill radius."	-14.30434783	0
http://en.wikipedia.org/wiki/Slipknot_discography	"List of non-single guest appearances, showing year released and album name"	Other appearances	0	Title	""(sic)""___""Snap""___""Vermilion Pt. 2"" (Bloodstone Mix)"	"Vermilion Pt. 2 (Bloodstone Mix)___""(sic)"""	-13.65217391	2
http://en.wikipedia.org/wiki/Government-owned_corporation	Government corporations by field and by country	Summary	7	Telephone	mix___mix (University of Buckingham), (BPP Holdings)"	"mix___mix (University of Buckingham), (BPP Holdings)"	-18	2
http://en.wikipedia.org/wiki/Crash_Canyon		Episodes	2	Title	""Mr. Crash Canyon""___""Less Than 127 Hours aka For the Love of God Die Already""___""Chillaxin' Chutney""___""Sheila Could Use a Nap""___""Over-flubbed""___""He's The Mayor""___""Trash Canyon"""	"Less Than 127 Hours aka For the Love of God Die Already___""Sheila Could Use a Nap"""	-18	0
http://en.wikipedia.org/wiki/2009_Puerto_Rico_Islanders_season		Matches	5	Scorers	Addlery 90'___Gbandi 4', Addlery 37'___Gbandi 92', Arrieta (pen.), Jagdeosingh (pen.)"	"Gbandi 92', Arrieta (pen.), Jagdeosingh (pen.)___Gbandi 4', Addlery 37'"	-13.32608696	0
http://en.wikipedia.org/wiki/New_Zealand_ADK_class_diesel_multiple_unit		Class register	4	Notes	Never shipped to New Zealand___(old photo)___ADB 778 was renumbered to 773. Moved to Lock'n'Load Paintball Arena___Formerly ADB 778; paired with ADK 683___Formerly ADB 779; paired with ADK 688	ADB 778 was renumbered to 773. Moved to Lock'n'Load Paintball Arena___Formerly ADB 779; paired with ADK 688	-18.32608696	0
http://de.wikipedia.org/wiki/Abk%C3%BCrzungen_in_der_Kabeltechnik		Abk??rzungen	2	Beschreibung	(Niederspannung) 250V/300V___(Niederspannung) 300V/500V___(Niederspannung) 500V/700V___(Niederspannung) 600V/1000V___Mittelspannungsbereich von 1000V (1kV) bis 36000V (36kV)	Mittelspannungsbereich von 1000V (1kV) bis 36000V (36kV)___(Niederspannung) 500V/700V	-16.65217391	0
http://en.wikipedia.org/wiki/Transport_Layer_Security?info=EXLINK	Browser support for TLS	Applications and adoption	2	Platforms	Android, Linux, Mac OS X, Windows (XP, Vista, 7, 8)___Windows (98, 2000, ME, XP)___Android,[citation needed] iOS,[citation needed] Linux, Mac OS X, Windows___iOS 4.0, Mac OS X, Windows (XP, Vista, 7)"	"Windows (98, 2000, ME, XP)___iOS 4.0, Mac OS X, Windows (XP, Vista, 7)"	-16.97826087	0
"http://fr.wikipedia.org/wiki/June_1,_1974"		Titres	1	Titre	Baby's on Fire___Heartbreak Hotel___The End___May I?___Shouting in a Bucket Blues___Stranger in Blue Suede Shoes___Everybody's Sometime and Some People's All the Time Blues___Two Goes into Four	Everybody's Sometime and Some People's All the Time Blues___Stranger in Blue Suede Shoes	-15	0
http://de.wikipedia.org/wiki/Radioactive_(Album)		Titelliste	3	Produzent	WillPower, The Audibles (Co) und Sasha Sirota (Co)___WillPower und Eminem (Co)"	"WillPower, The Audibles (Co) und Sasha Sirota (Co)___WillPower und Eminem (Co)"	-15	0
http://en.m.wikipedia.org/wiki/List_of_7th_Heaven_episodes		EpisodesEdit	4	Written by	Brenda Hampton___Brenda Hampton___Brenda Hampton___Brenda Hampton___Brenda Hampton___Jeffrey Rodgers___Brenda Hampton___Brenda Hampton___Jeffrey Rodgers___Elaine Arata & Brenda Hampton___Story by: Brenda HamptonTeleplay by: Chris Olsen & Jeff Olsen___Caroline Kepnes___Jeffrey Rodgers___Chris Olsen & Jeff Olsen___Chris Olsen & Jeff Olsen___Elaine Arata___Chad Bynes___Justin Trofholz___Brenda Hampton___Brenda Hampton___Brenda Hampton	Story by: Brenda HamptonTeleplay by: Chris Olsen & Jeff Olsen___Chris Olsen & Jeff Olsen	-17	0
